sample_id	genomad_context	drug_class	ARG_hit_count
ERR1713332	chromosome_like	tetracycline antibiotic	1853
ERR1713332	chromosome_like	macrolide antibiotic	1693
ERR1713332	chromosome_like	fluoroquinolone antibiotic	1628
ERR1713332	chromosome_like	penam	1307
ERR1713332	chromosome_like	peptide antibiotic	1178
ERR1713332	chromosome_like	cephalosporin	981
ERR1713332	chromosome_like	aminoglycoside antibiotic	821
ERR1713332	chromosome_like	disinfecting agents and antiseptics	815
ERR1713332	chromosome_like	phenicol antibiotic	799
ERR1713332	chromosome_like	cephamycin	675
ERR1713332	chromosome_like	carbapenem	673
ERR1713332	chromosome_like	glycopeptide antibiotic	548
ERR1713332	chromosome_like	aminocoumarin antibiotic	495
ERR1713332	chromosome_like	rifamycin antibiotic	473
ERR1713332	chromosome_like	penem	398
ERR1713332	chromosome_like	monobactam	396
ERR1713332	chromosome_like	diaminopyrimidine antibiotic	317
ERR1713332	chromosome_like	glycylcycline	294
ERR1713332	chromosome_like	lincosamide antibiotic	260
ERR1713332	chromosome_like	streptogramin antibiotic	226
ERR1713332	chromosome_like	nitroimidazole antibiotic	187
ERR1713332	chromosome_like	sulfonamide antibiotic	178
ERR1713332	chromosome_like	streptogramin A antibiotic	152
ERR1713332	chromosome_like	oxazolidinone antibiotic	136
ERR1713332	chromosome_like	mupirocin-like antibiotic	132
ERR1713332	chromosome_like	phosphonic acid antibiotic	127
ERR1713332	chromosome_like	pleuromutilin antibiotic	125
ERR1713332	chromosome_like	nucleoside antibiotic	113
ERR1713332	chromosome_like	fusidane antibiotic	62
ERR1713332	chromosome_like	streptogramin B antibiotic	58
ERR1713332	chromosome_like	isoniazid-like antibiotic	58
ERR1713332	chromosome_like	elfamycin antibiotic	47
ERR1713332	chromosome_like	antibacterial free fatty acids	42
ERR1713332	chromosome_like	bicyclomycin-like antibiotic	36
ERR1713332	chromosome_like	pyrazine antibiotic	17
ERR1713332	chromosome_like	salicylic acid antibiotic	16
ERR1713332	chromosome_like	nitrofuran antibiotic	10
ERR1713332	chromosome_like	orthosomycin antibiotic	4
ERR1713332	chromosome_like	polyamine antibiotic	3
ERR1713332	chromosome_like	thioamide antibiotic	1
ERR1713332	plasmid_like	tetracycline antibiotic	484
ERR1713332	plasmid_like	fluoroquinolone antibiotic	436
ERR1713332	plasmid_like	macrolide antibiotic	425
ERR1713332	plasmid_like	penam	376
ERR1713332	plasmid_like	cephalosporin	307
ERR1713332	plasmid_like	phenicol antibiotic	273
ERR1713332	plasmid_like	peptide antibiotic	259
