sample_id	source_file	source_bytes	source_lines	source_sha256	hit_summary_file	hit_summary_bytes	hit_summary_sha256	sample_summary_file	sample_summary_bytes	sample_summary_sha256	status
E_1-2	rr-analysis/kathmandu_kbase/stage3_4c_diamond_card/results_cleanfasta_17sample/E_1-2/E_1-2_diamond_card_blastx.tsv	522429934	4555699	80300cfc7ed55072c5c70de81067f2bef2e5ac072d5a86b7e878fff0d2b63df4	DIAMOND_CARD/E_1-2/E_1-2_diamond_card_hit_summary.tsv	285823	6d5fb43738e8220f0445d7b5f6f14caab6e66889d4a7d759383f71566dc8dcda	DIAMOND_CARD/E_1-2/E_1-2_diamond_card_sample_summary.tsv	152	1bc30015454972ff26a57b476214ad76d6593e15f2599ba79ca50fc72c69cf6d	PASS
E_11-12	rr-analysis/kathmandu_kbase/stage3_4c_diamond_card/results_cleanfasta_17sample/E_11-12/E_11-12_diamond_card_blastx.tsv	697437179	6089704	0173ab7f39e629f36afd1a732ea7b3256676e68e3530efb17438648cf8f320f0	DIAMOND_CARD/E_11-12/E_11-12_diamond_card_hit_summary.tsv	314835	bcb9b9030976284e3fcd67b2f936fc328f12f2a273a3f18918283d7ff47fbf4b	DIAMOND_CARD/E_11-12/E_11-12_diamond_card_sample_summary.tsv	154	a64499271e70e688e60f7689b7f497cc7b322905cecaac42ef546ccd9464a01e	PASS
E_3-4	rr-analysis/kathmandu_kbase/stage3_4c_diamond_card/results_cleanfasta_17sample/E_3-4/E_3-4_diamond_card_blastx.tsv	620132322	5408701	a9630c5b15e37d5c0aeffdeabb7c6d101f8b5e224a0d8335316add953cf6b32c	DIAMOND_CARD/E_3-4/E_3-4_diamond_card_hit_summary.tsv	288909	26b2c8784fbdcde2943f562a78db990cbb7208d836fb8d9822109192cbae7da7	DIAMOND_CARD/E_3-4/E_3-4_diamond_card_sample_summary.tsv	152	03ad5b9bd8cf986f6c8920bcd47b468d826fef2868e9e383cb92fb0be33e0c9f	PASS
E_5-6	rr-analysis/kathmandu_kbase/stage3_4c_diamond_card/results_cleanfasta_17sample/E_5-6/E_5-6_diamond_card_blastx.tsv	1125826726	9848118	99db976858976015459017f8f8a5fda48f141caf0710aba964956640dd5f9594	DIAMOND_CARD/E_5-6/E_5-6_diamond_card_hit_summary.tsv	313895	bfb639f051e5592359ca72e6cc0f85800b4f1eb1689c87b41f71e1154909d9f6	DIAMOND_CARD/E_5-6/E_5-6_diamond_card_sample_summary.tsv	152	d9772512ed3b5bd67541b9dc3cf316ed6dd09d727ec8f39f8f73472cf5b15daa	PASS
E_7-8	rr-analysis/kathmandu_kbase/stage3_4c_diamond_card/results_cleanfasta_17sample/E_7-8/E_7-8_diamond_card_blastx.tsv	660962996	5760000	fdaa630c555adc507416aef1c88fab90592d423e7c4862dd440d86debba7b54c	DIAMOND_CARD/E_7-8/E_7-8_diamond_card_hit_summary.tsv	296285	7fc72785aec3ab852d2137ac91382a797e57e8ea00ee759e3c39a268262ca714	DIAMOND_CARD/E_7-8/E_7-8_diamond_card_sample_summary.tsv	152	336273f0cd915b15e4b68b5ebff790e04f1b206d37c9f860be0fd951ffe815ae	PASS
E_9-10	rr-analysis/kathmandu_kbase/stage3_4c_diamond_card/results_cleanfasta_17sample/E_9-10/E_9-10_diamond_card_blastx.tsv	571150240	4981616	9a84258b43c995191fa04c819cd13a3a13a488ea7a31863490a69ad5b5f613be	DIAMOND_CARD/E_9-10/E_9-10_diamond_card_hit_summary.tsv	292331	5a41bb86b0982d22f6fe925dfe68e853c07d30ed5fb6b80109cf41f73f1a0151	DIAMOND_CARD/E_9-10/E_9-10_diamond_card_sample_summary.tsv	153	cf2f55a4d3fdb06a4a6821567340472870c71f37fab836cec209ad9a71d7a061	PASS
I_1-2	rr-analysis/kathmandu_kbase/stage3_4c_diamond_card/results_cleanfasta_17sample/I_1-2/I_1-2_diamond_card_blastx.tsv	1084634301	9479617	d537471853857422fe742e999e1216cb70b0257b90174102cab64a319c9da9b4	DIAMOND_CARD/I_1-2/I_1-2_diamond_card_hit_summary.tsv	307601	714cbb3ace21c4a82df7ff861a6c00eecda4c632f72525c0b306a7163d0a6337	DIAMOND_CARD/I_1-2/I_1-2_diamond_card_sample_summary.tsv	152	f4ca1607ca2c8c4e44cab4d099e477dc7979b099c934a50fb196c5613ee00e89	PASS
I_11-12	rr-analysis/kathmandu_kbase/stage3_4c_diamond_card/results_cleanfasta_17sample/I_11-12/I_11-12_diamond_card_blastx.tsv	1079970409	9438150	f01ac6b222b50dc7cbb79ce846b4b9040017736bece921e2d87e2f196cb8f66b	DIAMOND_CARD/I_11-12/I_11-12_diamond_card_hit_summary.tsv	320520	287cb8b82abb76903ec40a871477e21c7372be8c24365f595b97143a6c600409	DIAMOND_CARD/I_11-12/I_11-12_diamond_card_sample_summary.tsv	154	d1c9a3dae55b4bd1acd0d5f43392af0152ca5069dfbd36c923938d7538fa8477	PASS
I_3-4	rr-analysis/kathmandu_kbase/stage3_4c_diamond_card/results_cleanfasta_17sample/I_3-4/I_3-4_diamond_card_blastx.tsv	900693102	7875639	c66f5581be6cd607564a1679aca42f250e4c7b208d185c6349e00733ef28266f	DIAMOND_CARD/I_3-4/I_3-4_diamond_card_hit_summary.tsv	309525	9bb4a647de56a2956d3356471c99e5a32973e223b81ae56162148934945fffa0	DIAMOND_CARD/I_3-4/I_3-4_diamond_card_sample_summary.tsv	152	f8525a1d7501be4606a2fb6d9089128c5d6a6c2496e73c0c5f0c0cee2a987ad2	PASS
I_5-6	rr-analysis/kathmandu_kbase/stage3_4c_diamond_card/results_cleanfasta_I_5-6/I_5-6/I_5-6_diamond_card_blastx.tsv	531185989	4629283	6c682c8edc24f9512f89c1bd6daf8941925b4202f005bcd9e61ddfbfd6b26273	DIAMOND_CARD/I_5-6/I_5-6_diamond_card_hit_summary.tsv	291584	d7624ccbf72b955be761ebda26107160a625358da92388a6535fb384825cbcd2	DIAMOND_CARD/I_5-6/I_5-6_diamond_card_sample_summary.tsv	152	1fc5bbb242a9c97acc823c04aeb3831352702d2ca6450d86a232c95fd07397c2	PASS
